review_title,ratings,review_comment,size,asin
Comfortable,4.0,Good product,3XL,B0BJD8QRCN
Style is not good,3.0,Do not like the produdt,L,B0BJD8QRCN
Nice and comfy fabric,4.0,Fabric is soft but i think it's little thin so after repeated washes the thickness might be compomised.  Design and look is exactly same as the pic. Zippers are well sticheced and concealed. I brought a size bigger as I plan to use it in my last trimester as well,XL,B0BJD8QRCN
Cloth quality not good,2.0,The material is of low quality and it’s v long looks more like a nighty rather than a maxi dress. Waste of money. Too costly for such material,L,B0BJD8QRCN
Excellent,5.0,"Excellent product. Breathable fabric, loved it.",2XL,B0BJD8QRCN
Amazing dress by seller and superfast delivery,4.0,Fits perfect quality of fabric is also gud thanks to seller and Amazon,M,B0BJD8QRCN
Comfort,5.0,Best for feeding for ladies,2XL,B0BJD8QRCN
Bad,2.0,Very thin material...not recommended,M,B0BJD8QRCN
Quality not good,2.0,Cloth are cheapest quality,S,B0BJD8QRCN
Perfect for after delivery use,5.0,Perfect for after delivery use .. material is good in touch and appearance.just a bit translucent but I liked it as can be worn with pyjamas,2XL,B0BJD8QRCN
Happy purchase. Nice product,5.0,"Nice fabric, comfort fit. Simple dress. Quality product.",XL,B0BJD8QRCN
Colour,1.0,1 wash failed colour,L,B0BJD8QRCN
Quality,1.0,Very poor qualityDoesn't worth money,XL,B0BJD8QRCN
Not worth,1.0,Very very transparent.. thin cloth 👎🏻,XL,B0BJD8QRCN
Transparent,3.0,"Design is good, but they could have put a thin liner in the skirt part as the material is too transparent",3XL,B0BJD8QRCN
Very comfortable,4.0,Go for it,2XL,B09W1M56QT
Comfortable,5.0,"So comfy and it suits every body type,, material is soft so that it avoid irritation on skin and mood too while pregnancyYou can surely gift it to pregnant one as i did",no size,B09W1M56QT
Its comfortable!!!!,5.0,My bestie the mommy to be loves it …,no size,B09W1M56QT
Good product and good quality,5.0,The material quality found  good and no defects observed in the recieved product. Satisfied with the product and yes it is value for the money.,M,B09W1M56QT
Very comfortable in pregnancy,5.0,I m 9th month pregnant and in summer u need very comfortable wear that’s y I bought this dress. Trust me guys the fabric is so soft and fitting is also good u can even sleep in this dress. There are zipper in this so you can feed your baby very easily as well .,M,B09W1M56QT
Excellent material and well suited.,5.0,The fabric used is of top quality. Stitching and shape is best suited for the purpose I ordered the product.,no size,B09W1M56QT
Awesome 👍 dress,5.0,Size perfect. Length perfect. Beautiful maternity dress with smooth material 😍 TQ u mylo,no size,B09W1M56QT
Must buy maternity wear,5.0,The material of the dress is too good. Super comfy and cool.,L,B09W1M56QT
Good to buy,5.0,Soft & comfortable material. Stitching is done well,no size,B09W1M56QT
Good Maternity Dress,5.0,Dress is very comfortable and looking good. Size is perfectly designed for maternity. its a complete design for maternity with all required things. I loved it.,L,B09W1M56QT
Very comfortable,5.0,Nice quality and looking gorgeous,no size,B09W1M56QT
Worth every penny,5.0,Perfect for nursing mothers.,2XL,B09W1M56QT
Perfect maternity dress,5.0,Perfect maternity dress.... Loved the fabric quality... Go for it...!!!,no size,B09W1M56QT
Soft nd preety...,5.0,"Size is fit, good material, stylish dress comfortable dress, sleeves are so preety..",XL,B09W1M56QT
Print and quality are very good.,5.0,Cloth material is soft and prints are good.,L,B09W1M56QT
Must have for every maternity mom,5.0,Best product and best quality by the super unique brand. They give 100% best quality in the market.. this is not my first order from their maternity rangeRecommended for all mom's & mom to be's,2XL,B09W1M56QT
